name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Davis Cup AME QF: CAR vs BRA,1986,1986,1,4,0.0,Hard,5,3,Nelson Aerts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CAR vs CHI,1987,1987,1,4,0.0,Hard,5,3,Ricardo Acuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CAR vs URU,1984,1984,1,4,0.0,Clay,5,3,Hugo Roverano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CHI vs CAN,1986,1986,1,4,0.0,Clay,5,3,Hans Gildemeister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CHI vs COL,1984,1984,1,4,0.0,Clay,5,1,Ricardo Acuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CHN vs KOR,1984,1984,1,3,0.0,Clay,5,3,Wei You,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: COL vs BRA,1983,1983,1,4,0.0,Clay,5,3,Cassio Motta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: COL vs PER,1986,1986,1,3,0.0,Clay,5,3,Jaime Yzaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: ECU vs BOL,1987,1987,1,4,0.0,Clay,5,3,Andres Gomez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: ECU vs CAR,1983,1983,1,4,0.0,Clay,5,3,Raul Antonio Viver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: JPN vs CHN,1983,1983,1,4,0.0,Hard,5,3,Tsuyoshi Fukui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: JPN vs PHI,1984,1984,1,4,0.0,Hard,5,3,Shozo Shiraishi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: MEX vs CAN,1984,1984,1,4,0.0,Clay,5,3,Jorge Lozano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: MEX vs PER,1985,1985,1,4,0.0,Clay,5,3,Francisco Maciel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: MEX vs USA,1975,1975,1,4,0.0,Clay,5,12,Raul Ramirez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: PER vs CAN,1987,1987,1,4,0.0,Clay,5,3,Martin Wostenholme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: URU vs BRA,1987,1987,1,4,0.0,Clay,5,3,Luiz Mattar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: URU vs COL,1985,1985,1,4,0.0,Clay,5,3,Diego Perez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
